StartDate,EndDate,ResponseType,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseID,Latitude,Longitude,Channel,Language,HairLength,DryingTime,ScalpNumber ,FlakesFrequency,HairType,ProductStyling,HairProblem,ScalpfeelWash,Strand,HairGreyed ,HairTreatmentChemeical,HairTreatment,ProductSmell,Races,AgeRange,Countries,Sex,ZipCode,Porosity,target_1,target
10/29/2020 8:57,10/29/2020 9:01,IP Address,172.58.109.223,100,239,TRUE,10/29/2020 9:01,R_1rANC0fSvJlJQhM,32.73190308,-96.90570068,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,3b,Gel,"Hair Growth,Frizz,Dry Scalp,Rough/Dry Hair",Combination,Thick and noticeable.,Just a few hairs here and there,,Every few months,Fresh,Asian,25-34,Pakistan,Female,75044,High,curly_High,0
10/29/2020 21:37,10/29/2020 21:39,IP Address,172.58.99.21,100,158,TRUE,10/29/2020 21:39,R_1LMsVklQbBZNmhv,29.75450134,-95.40930176,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,2b,"None of these, I prefer...","Frizz,Split Ends,Dull hair strands,Oily Scalp,Rough/Dry Hair",Combination,Thin and bendable.,None at all,,Rarely,Fruity,South Asian,18-24,Pakistan,Female,76054,High,wavy_High,3
11/5/2020 23:18,11/5/2020 23:24,IP Address,184.167.32.254,100,348,TRUE,11/5/2020 23:24,R_4Z2iIKi7WODnbZ7,43.45280457,-110.7393036,anonymous,EN,Armpit length,1-2 hours,Very little of my scalp if any.,Weekly,3a,Oil,"Frizz,Split Ends,Chemical and Heat Damage,Rough/Dry Hair,Pregnancy Related Thinning",Combination,Thick and noticeable.,None at all,,Rarely,Musk,White,18-24,United States of America,Female,83001,Medium,curly_Medium,1
11/6/2020 6:04,11/6/2020 6:08,IP Address,172.58.100.101,100,246,TRUE,11/6/2020 6:08,R_8GFVXdSsMG99mtb,29.85949707,-95.38469696,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Rarely,3a,"Gel,Styling Cream","Thinning,Frizz,Too Little Volume,Breakage,Dull hair strands",Balanced,I can't feel the strand.,Just a few hairs here and there,Keratin Treatment,Rarely,Floral,Arab or Middle Eastern,25-34,Egypt,Female,77802,Medium,curly_Medium,1
11/6/2020 6:46,11/6/2020 6:52,IP Address,107.200.226.154,100,362,TRUE,11/6/2020 6:52,R_3NyXfFGlvh6UGjZ,32.86459351,-96.78839874,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Rarely,3a,"Styling Cream,None of these, I prefer...","Frizz,Split Ends,Dull hair strands",Combination,Thin and bendable.,None at all,,Once or twice a year,Floral,White,18-24,Germany,Female,75214,Medium,curly_Medium,1
11/6/2020 8:52,11/6/2020 9:04,IP Address,199.127.115.133,100,766,TRUE,11/6/2020 9:04,R_1pT2ewvYTVod5Dq,47.61700439,-117.3610001,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Rarely,2a,"None of these, I prefer...","Frizz,Split Ends,Dull hair strands,Oily Scalp,Rough/Dry Hair",Combination,Thin and bendable.,None at all,Keratin Treatment,Rarely,Floral,"Arab or Middle Eastern,Other",18-24,Egypt,Female,99352,Medium,wavy_Medium,4
11/6/2020 15:42,11/6/2020 15:46,IP Address,184.167.12.217,100,254,TRUE,11/6/2020 15:46,R_3F5msl3ODdCnQUn,43.45280457,-110.7393036,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Sometimes,3b,Oil,"Hair Growth,Frizz,Breakage",Dry,Thick and noticeable.,None at all,,Monthly,Floral,White,18-24,United States of America,Female,83001,Medium,curly_Medium,1
11/7/2020 6:32,11/7/2020 6:36,IP Address,70.123.108.80,100,219,TRUE,11/7/2020 6:36,R_3Db9KFti50Xcl2G,32.83099365,-96.76920319,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Rarely,2a,Hair Spray,"Thinning,Too Little Volume,Breakage",Balanced,Thin and bendable.,None at all,,Monthly,Fruity,Asian,18-24,India,Female,75214,Medium,wavy_Medium,4
11/8/2020 18:19,11/8/2020 18:22,IP Address,172.90.236.22,100,161,TRUE,11/8/2020 18:22,R_eqA1QjWHcv6v1yF,34.06260681,-118.3945999,anonymous,EN,Shoulder length,1-2 hours,I have no problem seeing my scalp.,Rarely,3b,Mousse,"Thinning,Frizz,Too Much Volume,Split Ends,Rough/Dry Hair",Combination,Thin and bendable.,None at all,Keratin Treatment,Rarely,Fresh,White,18-24,El Salvador,Female,90272,Medium,curly_Medium,1
11/9/2020 15:45,11/9/2020 15:54,IP Address,67.10.70.70,100,504,TRUE,11/9/2020 15:54,R_aW6M2rQOHcEuSAh,33.03909302,-97.07640076,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Weekly,3b,Oil,"Frizz,Breakage,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,,Rarely,Floral,White,18-24,Mexico,Female,75077,Medium,curly_Medium,1
11/9/2020 15:50,11/9/2020 15:55,IP Address,173.79.66.115,100,288,TRUE,11/9/2020 15:55,R_3HzPH0aFjmoFx1g,38.99940491,-77.03359985,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Daily,4a,"Gel,Styling Cream,Hair Wax/Pomade","Hair Growth,Baldness/Alopecia,Dry Scalp,Dandruff,Chemical and Heat Damage,Rough/Dry Hair",Dry,Thick and noticeable.,None at all,Natural extensions,Once or twice a year,Floral,Black or African American,18-24,Cameroon,Female,20910,High,coils_High,6
11/9/2020 16:00,11/9/2020 16:03,IP Address,107.77.199.116,100,166,TRUE,11/9/2020 16:03,R_3dEAmBuICoDJStA,32.84449768,-96.82189941,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Sometimes,3a,"Gel,Styling Cream","Hair Growth,Thinning,Frizz",Combination,Thin and bendable.,None at all,Keratin Treatment,Rarely,Musk,Arab or Middle Eastern,18-24,Iraq,Female,75019,Medium,curly_Medium,1
11/9/2020 16:06,11/9/2020 16:13,IP Address,45.25.155.198,100,388,TRUE,11/9/2020 16:13,R_2cjgEfmgFtVNqCc,27.26210022,-80.38349915,anonymous,EN,Above the ear or shoulder,1-2 hours,I have no problem seeing my scalp.,Rarely,4a,"Styling Cream,Custard","Frizz,Dull hair strands",Balanced,Thin and bendable.,Just a few hairs here and there,,Every few months,Fresh,Black or African American,55-64,United States of America,Female,34953,Medium,coils_Medium,7
11/9/2020 16:56,11/9/2020 16:58,IP Address,76.183.139.111,100,150,TRUE,11/9/2020 16:58,R_3k87z5VElMp86i1,32.82850647,-97.0951004,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Rarely,2c,"Mousse,Oil","Thinning,Frizz,Dry Scalp,Breakage,Rough/Dry Hair",Combination,Thin and bendable.,None at all,,Rarely,Fruity,Arab or Middle Eastern,18-24,Palestine,Female,76040,Medium,wavy_Medium,4
11/9/2020 17:25,11/9/2020 17:28,IP Address,104.190.138.239,100,204,TRUE,11/9/2020 17:28,R_RzclpF4RmO6tkwF,30.17460632,-97.82029724,anonymous,EN,,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Weekly,3a,"Gel,Styling Cream,Custard,Oil","Hair Growth,Thinning,Frizz,Too Little Volume,Split Ends,Dry Scalp,Chemical and Heat Damage,Breakage",Balanced,Thin and bendable.,None at all,,Every few months,Floral,Black or African American,18-24,Ethiopia,Female,75063,High,curly_High,0
11/9/2020 17:48,11/9/2020 17:50,IP Address,172.58.45.87,100,130,TRUE,11/9/2020 17:50,R_3hDD3R8rtdtD1B1,45.53309631,-122.7037048,anonymous,EN,,1-2 hours,Some of my scalp.,Rarely,3b,Oil,"Thinning,Too Little Volume,Dry Scalp,Chemical and Heat Damage,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,,Rarely,Unscented,Arab or Middle Eastern,18-24,Syrian Arab Republic,Male,,Medium,curly_Medium,1
11/9/2020 18:24,11/9/2020 18:27,IP Address,72.181.222.205,100,191,TRUE,11/9/2020 18:27,R_2fCY3FvWBrQbXdj,32.82310486,-96.96679688,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Sometimes,3b,Styling Cream,"Hair Growth,Frizz,Too Little Volume,Split Ends,Breakage",Balanced,I can't feel the strand.,None at all,,Rarely,Fresh,Black or African American,18-24,Ethiopia,Female,75060,Medium,curly_Medium,1
11/9/2020 19:12,11/9/2020 19:15,IP Address,108.201.50.59,100,223,TRUE,11/9/2020 19:15,R_3si6Veilfr1rmwo,32.47999573,-96.9905014,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Daily,2c,Styling Cream,"Hair Growth,Thinning,Baldness/Alopecia,Too Little Volume,Dandruff",Combination,Thin and bendable.,None at all,,Once or twice a year,Floral,Arab or Middle Eastern,18-24,Lebanon,Female,76065,Medium,wavy_Medium,4
11/9/2020 20:37,11/9/2020 20:42,IP Address,45.29.42.206,100,311,TRUE,11/9/2020 20:42,R_1jHsfhPGbHleKY1,32.86459351,-96.78839874,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Rarely,3b,"Styling Cream,Custard,Oil","Frizz,Rough/Dry Hair",Combination,Thin and bendable.,None at all,,Once or twice a year,Fruity,Arab or Middle Eastern,18-Oct,Egypt,Female,75229,High,curly_High,0
11/9/2020 23:45,11/9/2020 23:48,IP Address,174.244.16.246,100,173,TRUE,11/9/2020 23:48,R_1NweTvZFQ5tqXbk,32.82659912,-96.7888031,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Rarely,3a,"Styling Cream,Mousse,Oil","Hair Growth,Split Ends,Dry Scalp,Chemical and Heat Damage,Rough/Dry Hair",Combination,I can't feel the strand.,None at all,,Rarely,Fruity,Arab or Middle Eastern,18-24,Jordan,Female,79323,Medium,curly_Medium,1
11/10/2020 2:50,11/10/2020 2:55,IP Address,188.54.78.251,100,303,TRUE,11/10/2020 2:55,R_3maScuhsPNVS1LM,21.42669678,39.82609558,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Sometimes,2c,Styling Cream,"Frizz,Split Ends,Dry Scalp,Rough/Dry Hair",Combination,Thick and noticeable.,Just a few hairs here and there,,Every few months,Fresh,Arab or Middle Eastern,25-34,Syrian Arab Republic,Female,76180,High,wavy_High,3
11/10/2020 9:12,11/10/2020 9:18,IP Address,100.8.145.10,100,382,TRUE,11/10/2020 9:18,R_2UVhtuZCqpD3wv1,40.43200684,-74.20040131,anonymous,EN,,"A pretty long time, may be damp the whole day.",Some of my scalp.,Rarely,2b,"Gel,Styling Cream,Mousse,Oil","Hair Growth,Frizz,Too Little Volume,Split Ends,Breakage",Balanced,Thin and bendable.,None at all,,Rarely,Floral,"Black or African American,American Indian or Alaska Native",18-24,United States of America,Female,7735,High,wavy_High,3
11/10/2020 15:08,11/10/2020 15:13,IP Address,68.79.143.253,100,275,TRUE,11/10/2020 15:13,R_Ucs1Tok3sxyXZbH,33.83320618,-84.60310364,anonymous,EN,,1-2 hours,I have no problem seeing my scalp.,Rarely,3b,"Gel,Styling Cream,Mousse,Custard",Too Little Volume,Balanced,Thin and bendable.,None at all,,Once or twice a year,Fresh,"Black or African American,South Asian",25-34,Jamaica,Female,30126,Medium,curly_Medium,1
11/10/2020 23:05,11/10/2020 23:08,IP Address,172.58.111.219,100,198,TRUE,11/10/2020 23:08,R_274lUhQfkGAROZI,32.73190308,-96.90570068,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Daily,4a,"Styling Cream,Mousse,Oil","Frizz,Dandruff",Balanced,Thin and bendable.,None at all,,Rarely,Fresh,Arab or Middle Eastern,18-Oct,Egypt,Female,75082,Medium,coils_Medium,7
11/10/2020 23:12,11/10/2020 23:16,IP Address,75.38.16.160,100,215,TRUE,11/10/2020 23:16,R_2UYgbADVP5A6qN7,33.13710022,-96.74880219,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Sometimes,2c,"None of these, I prefer...","Thinning,Frizz,Split Ends,Dull hair strands,Oily Scalp",Combination,Thin and bendable.,None at all,,Every few months,Musk,Arab or Middle Eastern,18-24,Palestine,Female,75035,Medium,wavy_Medium,4
11/10/2020 23:29,11/10/2020 23:32,IP Address,99.49.242.57,100,215,TRUE,11/10/2020 23:32,R_Z1B8CiPn6zceSM9,32.69569397,-97.09069824,anonymous,EN,Mid-back or longer,1-2 hours,I have no problem seeing my scalp.,Sometimes,1,"None of these, I prefer...","Thinning,Baldness/Alopecia,Too Little Volume",Balanced,Thin and bendable.,None at all,,Rarely,Fresh,South Asian,18-24,Bangladesh,Female,76011,Medium,Straight_Medium,9
11/10/2020 23:44,11/10/2020 23:48,IP Address,129.119.235.16,100,229,TRUE,11/10/2020 23:48,R_3Hk72B2MyQNKJBv,32.82659912,-96.7888031,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Sometimes,3c,"Styling Cream,Oil","Frizz,Dandruff,Rough/Dry Hair",Dry,Thin and bendable.,None at all,,Rarely,Fresh,"White,Black or African American,American Indian or Alaska Native,Asian",18-24,,Female,92563,Medium,curly_Medium,1
11/11/2020 1:21,11/11/2020 1:24,IP Address,47.187.45.146,100,181,TRUE,11/11/2020 1:24,R_8qDg8vL0tuVt1y9,32.84890747,-96.96669769,anonymous,EN,,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Sometimes,2b,Hair Spray,"Frizz,Oily Scalp",Oily,I can't feel the strand.,None at all,,Rarely,Fresh,Asian,18-24,Pakistan,Female,75062,High,wavy_High,3
11/11/2020 3:25,11/11/2020 3:32,IP Address,99.24.137.94,100,408,TRUE,11/11/2020 3:32,R_3NwyqthU7gSfyfH,32.72259521,-97.07849884,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,2b,"None of these, I prefer...","Frizz,Too Little Volume,Dry Scalp",Combination,I can't feel the strand.,None at all,,Rarely,Fresh,Arab or Middle Eastern,18-24,Palestine,Male,76006,High,wavy_High,3
11/11/2020 4:56,11/11/2020 4:59,IP Address,47.187.165.77,100,187,TRUE,11/11/2020 4:59,R_1Kdry2br8gLkhYD,33.03259277,-96.7858963,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Sometimes,3b,Styling Cream,"Thinning,Breakage,Dull hair strands",Oily,Thick and noticeable.,None at all,,,Floral,Arab or Middle Eastern,18-24,Palestine,Female,75093,Medium,curly_Medium,1
11/11/2020 6:24,11/11/2020 6:27,IP Address,129.119.235.19,100,188,TRUE,11/11/2020 6:27,R_3nP1LVlXG3Dk9jO,32.82659912,-96.7888031,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Weekly,,Oil,"Split Ends,Dry Scalp,Breakage,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,Natural extensions,,Floral,Black or African American,18-24,Nigeria,Female,75032,Medium,curly_Medium,1
11/11/2020 6:31,11/11/2020 6:33,IP Address,47.149.142.125,100,150,TRUE,11/11/2020 6:33,R_24BkRZdUUPYYd7Y,33.84599304,-118.3455963,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Weekly,2b,"Oil,Hair Spray","Hair Growth,Frizz,Dry Scalp,Dandruff,Oily Scalp,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,,Rarely,Fresh,"Asian,South Asian",18-24,Viet Nam,Female,90504,High,wavy_High,3
11/11/2020 6:44,11/11/2020 7:09,IP Address,129.119.235.18,100,1523,TRUE,11/11/2020 7:09,R_reaLs1wyL4jeqNH,32.82659912,-96.7888031,anonymous,EN,Mid-back or longer,1-2 hours,Some of my scalp.,Weekly,4b,Styling Cream,"Hair Growth,Split Ends,Dry Scalp,Dandruff,Breakage",Balanced,Thick and noticeable.,Just a few hairs here and there,Synthetic extensions,Once or twice a year,Floral,Black or African American,18-24,,Female,75068,Medium,coils_Medium,7
11/11/2020 7:10,11/11/2020 7:14,IP Address,47.184.200.195,100,225,TRUE,11/11/2020 7:14,R_O6VNpUbqNK61tpn,32.94569397,-97.15470123,anonymous,EN,Mid-back or longer,1-2 hours,I have no problem seeing my scalp.,Sometimes,2b,Styling Cream,"Too Little Volume,Oily Scalp,Rough/Dry Hair",Combination,Thin and bendable.,Just a few hairs here and there,,Rarely,Floral,South Asian,18-24,India,Female,76002,Medium,wavy_Medium,4
11/11/2020 7:13,11/11/2020 7:16,IP Address,96.40.55.23,100,174,TRUE,11/11/2020 7:16,R_2SdxHNCMzMKLgeN,32.82659912,-96.7888031,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Rarely,2c,"None of these, I prefer...","Hair Growth,Thinning,Frizz,Split Ends,Breakage",Combination,Thin and bendable.,None at all,Keratin Treatment,Weekly,Fresh,White,18-24,,Female,97408,High,wavy_High,3
11/11/2020 7:22,11/11/2020 7:26,IP Address,129.119.235.24,100,213,TRUE,11/11/2020 7:26,R_2YEBvR7dKUxEoaf,32.82659912,-96.7888031,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Weekly,1,Mousse,"Hair Growth,Too Little Volume,Split Ends,Dry Scalp,Breakage",Combination,Thin and bendable.,None at all,,Rarely,Fresh,White,18-24,United States of America,Female,36532,Medium,Straight_Medium,9
11/11/2020 7:18,11/11/2020 7:26,IP Address,47.38.184.204,100,479,TRUE,11/11/2020 7:27,R_3kMIUq7tpWgzHNj,32.58169556,-97.13990021,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Sometimes,4a,"Gel,Styling Cream,Custard","Hair Growth,Frizz,Breakage",Combination,,None at all,,Once or twice a year,Floral,"White,Black or African American",18-24,,Female,76140,High,coils_High,6
11/11/2020 7:35,11/11/2020 7:37,IP Address,129.119.235.15,100,132,TRUE,11/11/2020 7:37,R_10V1M3jlhXiHVdu,32.82659912,-96.7888031,anonymous,EN,Armpit length,1-2 hours,Some of my scalp.,Daily,3a,Mousse,"Frizz,Too Little Volume,Dry Scalp,Dandruff,Rough/Dry Hair",Combination,Thin and bendable.,None at all,,Rarely,Fresh,"White,South Asian",18-24,India,Female,52501,Medium,curly_Medium,1
11/11/2020 7:34,11/11/2020 7:45,IP Address,45.20.140.142,100,636,TRUE,11/11/2020 7:45,R_sMSFwfCzPZOixnH,33.1177063,-96.67910004,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Weekly,2b,"Styling Cream,Mousse","Frizz,Too Much Volume,Too Little Volume,Dandruff,Dull hair strands",Balanced,Thin and bendable.,None at all,,Every few months,Fresh,South Asian,18-24,Pakistan,Female,75025,High,wavy_High,3
11/11/2020 7:44,11/11/2020 7:50,IP Address,129.119.235.16,100,385,TRUE,11/11/2020 7:50,R_3PpBDpZMT71TRN3,32.82659912,-96.7888031,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Sometimes,2c,Custard,"Frizz,Too Little Volume,Dry Scalp",Combination,Thin and bendable.,None at all,,Rarely,Floral,"White,Other",18-24,United States of America,Female,78023,Medium,wavy_Medium,4
11/11/2020 7:45,11/11/2020 7:51,IP Address,70.117.30.18,100,323,TRUE,11/11/2020 7:51,R_3rN78x7tka5RLi5,32.61549377,-96.77600098,anonymous,EN,Armpit length,1-2 hours,I have no problem seeing my scalp.,Rarely,3a,"Styling Cream,Oil","Frizz,Too Little Volume,Oily Scalp",Balanced,Thin and bendable.,None at all,,Rarely,Fruity,Other,18-24,Mexico,Female,75134,Medium,curly_Medium,1
11/11/2020 7:46,11/11/2020 7:52,IP Address,73.206.118.169,100,352,TRUE,11/11/2020 7:52,R_3fJfKR8fjxyFN9Q,29.27929688,-94.834198,anonymous,EN,Above the ear or shoulder,1-2 hours,I have no problem seeing my scalp.,Rarely,2a,Styling Cream,"Thinning,Baldness/Alopecia,Split Ends",Balanced,Thin and bendable.,Just a few hairs here and there,,Rarely,Musk,Arab or Middle Eastern,18-24,Lebanon,Male,,Medium,wavy_Medium,4
11/11/2020 8:04,11/11/2020 8:07,IP Address,107.77.202.178,100,180,TRUE,11/11/2020 8:07,R_3EtDpdimT19zKnf,38.85740662,-77.09999847,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Very little of my scalp if any.,Sometimes,2c,"Styling Cream,Custard","Frizz,Split Ends,Breakage,Dull hair strands",Balanced,Thin and bendable.,None at all,,Rarely,Fresh,South Asian,18-24,India,Female,75022,High,wavy_High,3
11/11/2020 8:06,11/11/2020 8:09,IP Address,107.77.234.145,100,160,TRUE,11/11/2020 8:09,R_4UijwBoBTjM2XMl,33.86210632,-84.4197998,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,2b,Mousse,"Hair Growth,Too Little Volume,Breakage",Oily,Thick and noticeable.,None at all,"Chemical Straightening (Relaxer),Keratin Treatment",Weekly,Fresh,White,18-24,Germany,Female,75206,High,wavy_High,3
11/11/2020 8:09,11/11/2020 8:13,IP Address,129.119.235.14,100,267,TRUE,11/11/2020 8:13,R_20V7BB7KEeXdr7d,32.82659912,-96.7888031,anonymous,EN,Shoulder length,1-2 hours,I have no problem seeing my scalp.,Rarely,2a,Styling Cream,"Too Little Volume,Oily Scalp",Oily,Thin and bendable.,None at all,,Once or twice a year,Fresh,White,18-24,Germany,Female,,Medium,wavy_Medium,4
11/11/2020 8:21,11/11/2020 8:25,IP Address,99.149.242.104,100,251,TRUE,11/11/2020 8:25,R_2ffWOY3QKxXVsNc,34.11099243,-84.30249786,anonymous,EN,Above the ear or shoulder,Just a few minutes out of the shower,Some of my scalp.,Sometimes,2a,Oil,"Dandruff,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,,Rarely,Fresh,Asian,18-24,,Male,30009,Low,wavy_Low,5
11/11/2020 8:23,11/11/2020 8:26,IP Address,129.119.235.4,100,179,TRUE,11/11/2020 8:26,R_2abIG81raWeVr2c,32.82659912,-96.7888031,anonymous,EN,Shoulder length,1-2 hours,I have no problem seeing my scalp.,Sometimes,2b,Oil,"Hair Growth,Thinning,Rough/Dry Hair",Oily,Thick and noticeable.,None at all,,Rarely,Floral,Asian,18-24,Pakistan,Female,75205,Medium,wavy_Medium,4
11/11/2020 8:32,11/11/2020 8:37,IP Address,129.119.235.10,100,311,TRUE,11/11/2020 8:37,R_6Aph1k2fn6LejxD,32.82659912,-96.7888031,anonymous,EN,Mid-back or longer,"A pretty long time, may be damp the whole day.",Some of my scalp.,Weekly,3c,"Styling Cream,Custard","Split Ends,Dry Scalp,Breakage",Dry,Thin and bendable.,Just a few hairs here and there,"Keratin Treatment,Synthetic extensions",Rarely,Fruity,Black or African American,18-24,United States of America,Female,71111,High,curly_High,0
11/11/2020 8:38,11/11/2020 8:43,IP Address,129.119.235.11,100,272,TRUE,11/11/2020 8:43,R_DHkRHhxF7qbqYnf,32.82659912,-96.7888031,anonymous,EN,Mid-back or longer,1-2 hours,I have no problem seeing my scalp.,Rarely,1,Oil,"Thinning,Frizz,Chemical and Heat Damage,Breakage,Rough/Dry Hair",Balanced,Thin and bendable.,None at all,,Once or twice a year,Fresh,White,18-Oct,,Female,77450,Medium,Straight_Medium,9
11/11/2020 8:52,11/11/2020 8:55,IP Address,68.54.102.11,100,126,TRUE,11/11/2020 8:55,R_31BjbrHmvSsGoCa,44.91740417,-92.94779968,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Rarely,3b,"Gel,Custard,Hair Spray","Too Little Volume,Breakage,Dull hair strands,Oily Scalp",Combination,Thin and bendable.,None at all,,Every few months,Floral,White,18-24,United Kingdom of Great Britain and Northern Ireland,Female,55125,Medium,curly_Medium,1
11/11/2020 8:57,11/11/2020 9:00,IP Address,129.119.235.28,100,156,TRUE,11/11/2020 9:00,R_3rGUtctUl8rdWNH,32.82659912,-96.7888031,anonymous,EN,Armpit length,1-2 hours,Very little of my scalp if any.,Daily,2b,Oil,"Frizz,Too Little Volume,Split Ends,Dull hair strands,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,,Rarely,Fruity,South Asian,18-24,India,Female,,Medium,wavy_Medium,4
11/11/2020 9:03,11/11/2020 9:06,IP Address,129.119.235.28,100,193,TRUE,11/11/2020 9:06,R_1FE2VmSpYMdTatL,32.82659912,-96.7888031,anonymous,EN,Shoulder length,1-2 hours,Some of my scalp.,Daily,2c,"Styling Cream,Hair Spray","Frizz,Too Much Volume,Split Ends,Dandruff",Balanced,Thin and bendable.,None at all,,Every few months,Fruity,White,18-Oct,,Female,75035,Medium,wavy_Medium,4
11/11/2020 9:07,11/11/2020 9:11,IP Address,70.119.87.43,100,220,TRUE,11/11/2020 9:11,R_DB51NUiUozs7JLP,33.01480103,-96.61889648,anonymous,EN,,1-2 hours,Some of my scalp.,Weekly,3a,"Styling Cream,Mousse","Frizz,Split Ends",Balanced,Thin and bendable.,None at all,,Rarely,Floral,South Asian,18-24,Pakistan,Female,75094,Medium,curly_Medium,1
11/11/2020 9:33,11/11/2020 9:37,IP Address,70.241.151.93,100,293,TRUE,11/11/2020 9:37,R_3hGSG6ZDzWWaVBS,32.81790161,-96.63189697,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Sometimes,2c,"Styling Cream,Mousse","Frizz,Rough/Dry Hair",Dry,Thick and noticeable.,None at all,,Every few months,Floral,"White,Other",18-24,Mexico,Female,75228,High,wavy_High,3
11/11/2020 9:53,11/11/2020 9:55,IP Address,173.224.99.131,100,138,TRUE,11/11/2020 9:55,R_2dpeuu8LaeTsn4A,29.73880005,-95.8309021,anonymous,EN,Mid-back or longer,1-2 hours,Very little of my scalp if any.,Sometimes,2b,Oil,"Split Ends,Chemical and Heat Damage,Rough/Dry Hair",Balanced,Thick and noticeable.,None at all,Hair Rebonding,Every few months,Floral,Asian,18-24,,,,Medium,wavy_Medium,4
11/11/2020 9:51,11/11/2020 9:55,IP Address,129.119.235.5,100,267,TRUE,11/11/2020 9:55,R_2CVwrALnhx6wEgi,32.82659912,-96.7888031,anonymous,EN,Shoulder length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Daily,2c,Oil,"Frizz,Too Much Volume,Dandruff,Chemical and Heat Damage,Dull hair strands",Dry,Thin and bendable.,None at all,,Every few months,Musk,South Asian,18-24,Pakistan,Female,75044,High,wavy_High,3
11/11/2020 9:58,11/11/2020 10:01,IP Address,129.119.235.12,100,165,TRUE,11/11/2020 10:01,R_cMEALyFliszbv6F,32.82659912,-96.7888031,anonymous,EN,,"A pretty long time, may be damp the whole day.",I have no problem seeing my scalp.,Rarely,4c,"Custard,Oil","Hair Growth,Too Little Volume,Dry Scalp,Rough/Dry Hair",Combination,Thick and noticeable.,None at all,Natural extensions,Rarely,Unscented,Black or African American,18-24,,Female,75205,High,coils_High,6
11/11/2020 10:13,11/11/2020 10:21,IP Address,99.44.99.174,100,457,TRUE,11/11/2020 10:21,R_3rSwrA2mGCBOFU7,32.78889465,-96.80210114,anonymous,EN,Armpit length,"A pretty long time, may be damp the whole day.",Some of my scalp.,Daily,3c,"Mousse,Custard,Oil","Frizz,Split Ends,Dry Scalp,Dandruff,Chemical and Heat Damage,Breakage",Balanced,Thin and bendable.,None at all,"Chemical Straightening (Relaxer),Natural extensions",Weekly,Floral,Black or African American,18-24,United States of America,Female,75219,High,curly_High,0
